"","LGA","Ward","time","count"
"3856","Kajuru","Kasuwan_magani",2025-01-01,2
"3859","Zaria","Kaura",2025-01-01,2
"3860","Kaura","Kaura_kaura",2025-01-01,4
"3863","Kauru","Kauru_east",2025-01-01,3
"3865","Kaduna_North","Kawo",2025-01-01,4
"3868","Giwa","Kidandan",2025-01-01,2
"3872","Kudan","Kudan",2025-01-01,2
"3879","Chikun","Kunai",2025-01-01,2
"3880","Chikun","Kuriga",2025-01-01,2
"3882","Ikara","Kurmin_kogi",2025-01-01,2
"3883","Kachia","Kurmin_Musa",2025-01-01,4
"3887","Birnin_Gwari","Kuyello",2025-01-01,3
"3888","Igabi","Kwarau",2025-01-01,2
"3890","Zaria","Kwarbai_b",2025-01-01,2
"3899","Birnin_Gwari","Magajin_gari_1",2025-01-01,2
"3900","Kubau","Mah",2025-01-01,2
"3906","Kaura","Mallagum",2025-01-01,2
"3913","Markafi","Nasarawan_doya",2025-01-01,3
"3914","Chikun","Nassarawa",2025-01-01,2
"3917","Sanga","Ninzo_south",2025-01-01,2
"3918","Sanga","Ninzo_west",2025-01-01,2
"3921","Ikara","Pala",2025-01-01,2
"3928","Soba","Richifa",2025-01-01,2
"3929","Chikun","Rido",2025-01-01,2
"3932","Kajuru","Rimau",2025-01-01,2
"3933","Ikara","Rumi",2025-01-01,2
"3943","Lere","Saminaka",2025-01-01,6
"3947","Kaduna_North","Shaba",2025-01-01,2
"3958","Kaduna_South","Tudun_wada_south",2025-01-01,4
"3959","Zaria","Tukur_tukur",2025-01-01,3
"3962","Kaduna_North","Unguwan_dosa",2025-01-01,2
"3965","Zaria","Unguwan_juma",2025-01-01,2
"3967","Kaduna_North","Unguwan_sarki",2025-01-01,2
"3968","Kaduna_North","Unguwan_shanu",2025-01-01,2
"3972","Chikun","Yelwa",2025-01-01,2
"3987","Sanga","Arak",2025-02-01,2
"3988","Kagarko","Aribi",2025-02-01,2
"3989","Jemaa","Asso",2025-02-01,2
"3991","Ikara","Auchan",2025-02-01,2
"3993","Sanga","Ayu",2025-02-01,2
"3994","Kaduna_North","Badarawa",2025-02-01,5
"4000","Birnin_Gwari","Birnin_gwari_2",2025-02-01,2
"4002","Kauru","Bital",2025-02-01,4
"4003","Sanga","Bokana",2025-02-01,2
"4006","Sabon_Gari","Chikaji",2025-02-01,2
"4010","Kaduna_North","Dadi_riba",2025-02-01,3
"4011","Kauru","Damakasuwa",2025-02-01,2
"4012","Birnin_Gwari","Damari",2025-02-01,2
"4016","Markafi","Dandamisa",2025-02-01,2
"4020","Kauru","Dawaki",2025-02-01,2
"4022","Kachia","Doka",2025-02-01,2
"4027","Jaba","Fada_jaba",2025-02-01,2
"4028","Jemaa","Fadan_kagoma",2025-02-01,2
"4049","Markafi","Gwanki",2025-02-01,4
"4050","Sanga","Gwantu",2025-02-01,2
"4051","Igabi","Gwaraji",2025-02-01,2
"4058","Kagarko","Iddah",2025-02-01,2
"4061","Ikara","Ikara",2025-02-01,2
"4065","Ikara","Jamfalan",2025-02-01,2
"4066","Kagarko","Jere_north",2025-02-01,2
"4081","Jemaa","Kaninkon",2025-02-01,3
"4090","Kauru","Kauru_west",2025-02-01,2
"4099","Kajuru","Kufana",2025-02-01,8
"4100","Zaria","Kufena",2025-02-01,2
"4102","Kagarko","Kukui",2025-02-01,2
"4106","Kagarko","Kurmin_jibrin",2025-02-01,4
"4108","Kachia","Kurmin_Musa",2025-02-01,3
"4118","Zaria","Limancin_kona",2025-02-01,3
"4126","Markafi","Makarfi",2025-02-01,3
"4137","Jaba","Nok",2025-02-01,2
"4149","Ikara","Rumi",2025-02-01,2
"4150","Jaba","Sab_chem",2025-02-01,2
"4152","Lere","Sabon_birni",2025-02-01,2
"4153","Igabi","Sabon_birni_igabi",2025-02-01,2
"4162","Ikara","Saulawa",2025-02-01,2
"4168","Kajuru","Tantatu",2025-02-01,3
"4170","Zaria","Tudun wada_zaria",2025-02-01,2
"4171","Markafi","Tudun_wada",2025-02-01,2
"4173","Kaduna_South","Tudun_wada_south",2025-02-01,4
"4180","Zango_Kataf","Unguwan_rimi_zango",2025-02-01,2
"4194","Zango_Kataf","Zonkwa",2025-02-01,2
"4195","Zango_Kataf","Zonzon",2025-02-01,2
"4210","Kaduna_South","Badiko",2025-03-01,2
"4213","Birnin_Gwari","Birnin_gwari_2",2025-03-01,2
"4215","Kauru","Bital",2025-03-01,8
"4218","Kajuru","Buda",2025-03-01,2
"4223","Kaduna_North","Dadi_riba",2025-03-01,2
"4233","Birnin_Gwari","Dogon_dawa",2025-03-01,2
"4234","Kachia","Doka",2025-03-01,2
"4244","Soba","Garun_Gwanki",2025-03-01,2
"4257","Markafi","Gwanki",2025-03-01,5
"4258","Sanga","Gwantu",2025-03-01,2
"4263","Kudan","Hunkuyi",2025-03-01,2
"4268","Sabon_Gari","Jamaa",2025-03-01,2
"4271","Kagarko","Jere_south",2025-03-01,2
"4272","Sabon_Gari","Jushi",2025-03-01,2
"4278","Chikun","Kakau",2025-03-01,2
"4291","Lere","Kayarda",2025-03-01,2
"4292","Giwa","Kidandan",2025-03-01,2
"4302","Kagarko","Kurmin_jibrin",2025-03-01,3
"4311","Lere","Lere",2025-03-01,2
"4323","Chikun","Nassarawa",2025-03-01,2
"4325","Sanga","Ninzo_north",2025-03-01,3
"4337","Chikun","Rido",2025-03-01,2
"4341","Ikara","Rumi",2025-03-01,2
"4350","Lere","Saminaka",2025-03-01,2
"4355","Soba","Soba",2025-03-01,2
"4357","Birnin_Gwari","Tabanni",2025-03-01,2
"4359","Zaria","Tudun wada_zaria",2025-03-01,2
"4363","Soba","Turawa",2025-03-01,2
"4366","Zaria","Unguwan_juma",2025-03-01,2
"4368","Kaduna_North","Unguwan_sarki",2025-03-01,2
