"LGA","Ward","count"
"Zaria","Limancin_kona",8
"Kudan","Lokoro",18
"Zango_Kataf","Madakiya",4
"Zangon_Kataf","Madakiya",11
"Birnin_Gwari","Magajin Gari 1",12
"Birnin_Gwari","Magajin Gari 2",10
"Birnin_Gwari","Magajin Gari 3",4
"Birnin_Gwari","Magajin_gari_1",5
"Birnin_Gwari","Magajin_gari_3",2
"Kubau","Mah",14
"Kaduna_North","Maiburji",18
"Soba","Maigana",18
"Jemaa","Maigizo",10
"Kauru","Makami",18
"Markafi","Makarfi",16
"Kaduna_South","Makera",16
"Kaura","Mallagum",16
"Kaura","Manchok",17
"Kajuru","Maro",15
"Markafi","Mayere",16
"Sabon_Gari","Muchia",14
"Sanga","Nandu",16
"Chikun","Narayi",16
"Markafi","Nasarawan_doya",9
"Markafi","Nasarawan_Doya",12
"Chikun","Nassarawa",18
"Jaba","Nduya",16
"Sanga","Ninzo North",10
"Sanga","Ninzo South",9
"Sanga","Ninzo West",11
"Sanga","Ninzo_north",6
"Sanga","Ninzo_south",8
"Sanga","Ninzo_west",9
"Jaba","Nok",18
"Ikara","Paki",17
"Ikara","Pala",18
"Kubau","Pambegua",9
"Giwa","Panhauya",18
"Kauru","Pari",9
"Soba","Rahama",18
"Lere","Ramin Kura",12
"Lere","Ramin_kura",9
"Birnin_Gwari","Randagi",16
"Soba","Richifa",18
"Chikun","Rido",16
"Igabi","Rigachikun",17
"Igabi","Rigasa",18
"Kajuru","Rimau",18
"Ikara","Rumi",18
"Jaba","Sab-Chem",11
"Jaba","Sab-Zuro",11
"Jaba","Sab_chem",9
"Jaba","Sab_zuro",9
"Igabi","Sabon Birni",12
"Lere","Sabon Birni",12
"Chikun","Sabon Gari",12
"Kudan","Sabon Gari",13
"Kaduna_South","Sabon Gari  North",9
"Kaduna_South","Sabon Gari South",12
"Kaduna_South","Sabon Gari West",9
"Kachia","Sabon Sarki",11
"Chikun","Sabon Tasha",12
"Lere","Sabon_birni",9
"Igabi","Sabon_birni_igabi",4
"Kudan","Sabon_gari",4
"Chikun","Sabon_gari_chikun",1
"Kaduna_South","Sabon_gari_north",7
"Kaduna_South","Sabon_gari_south",5
"Kaduna_South","Sabon_gari_west",1
"Kachia","Sabon_sarki",9
"Chikun","Sabon_tasha",9
"Sabon_Gari","Samaru",18
"Jaba","Samban",17
"Lere","Saminaka",17
