"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Birnin_Gwari",33.2162864430674,30.4545432372782,19.2745233188093,65.7465011034209,26.6537897053129,26.3089484425084,17.5161247949253,37.823160647284,0.850450365527311,0.900588086755861,0.420523884334907,0.996218137952869,870.675922491937,798.284226403099,505.229969038253,1723.36831201628,1.24789832115812,1.1103855521811,1.00379621882303,2.37798621500327
"Chikun",30.7162242217306,23.5598372213712,13.3900780547458,101.885232818804,18.9126951842101,18.5761577386185,11.4295931166388,28.1944787385078,0.764338946741219,0.839318122887529,0.175969158436678,0.989466851094233,299.933836751592,230.054069147263,130.749712476768,994.875820904248,1.65351880853843,1.19144335470776,1.01064527719564,5.68281401635252
"Giwa",46.3414184544822,43.8007875765909,30.0372367656462,77.8824664716354,38.7459496969706,38.4121341459842,27.4886573165831,51.9802157428269,0.865442484506758,0.90299966302571,0.52116360896412,0.995952741264647,1903.92023231233,1799.53934168409,1234.06888930346,3199.77265701049,1.19689762108937,1.10742012532913,1.00406370560336,1.91878324350389
"Igabi",77.6604634796217,71.1742314504514,51.9774201408724,146.901939740306,62.6640400414282,62.3217567411508,48.0379911990522,79.2550440314491,0.853136950568257,0.903799723222722,0.430804709515996,0.996417254144496,950.556468538821,871.165623628536,636.198532936014,1798.06535789849,1.24064108737735,1.10643981659374,1.00359562807728,2.32123739112492
"Ikara",59.7693621028203,55.6152948798723,39.1287966157737,106.42453397647,48.4175288821328,48.0926554289891,35.6944234234284,63.0673647877046,0.848632008595784,0.889353728224164,0.467063446483575,0.994810493896366,921.939875101347,857.863564397227,603.560028008232,1641.59392220376,1.23511360471136,1.12441199521005,1.00521657756487,2.14103674298159
"Jaba",68.6238125342776,49.3775150715651,29.5712891460019,221.11086923255,36.7977588441593,36.4587469869191,25.8025183302977,49.6904551731814,0.703110421661419,0.766762447668204,0.164958096245305,0.996639926539758,1973.65005850669,1420.11835120981,850.482862985388,6359.24271592035,1.87946463558716,1.30418489203118,1.00337140161734,6.06214561627297
"Jemaa",18.8618534002618,15.2743844971983,7.83101488154875,52.5423966650967,12.4084501968816,12.0833184635824,6.6371324044783,20.0564978548847,0.778500252540662,0.842997194293508,0.232752595073356,0.990880914556954,432.710562061523,350.41028899285,179.651637567074,1205.3773036269,1.54254350368236,1.18624356850687,1.00920300846356,4.29640752238379
"Kachia",35.0764522960358,32.1191272018667,20.6645999791796,67.2823327997928,27.8989363164236,27.542344010831,18.624691443116,39.1496342666092,0.845308651980403,0.894480405130074,0.425413564717873,0.995600147394026,1056.83797216137,967.735076886615,622.61524492858,2027.18688761051,1.26123701880209,1.1179674750471,1.00441929686082,2.35065377067656
"Kaduna_North",22.76979285906,18.6948451534395,10.3284811271562,59.6430582759277,15.6121466158916,15.2753355481999,8.96383274077843,24.1613652109412,0.802164910976397,0.864959040280531,0.258599720952233,0.992673020146903,719.879635126779,591.047902416678,326.540661623656,1885.64838052253,1.47516862033655,1.15612410927389,1.00738106073642,3.86698019995887
"Kaduna_South",85.9723372475416,78.2536355977497,56.9064422246313,167.849091592044,66.8422657813337,66.5043359186583,51.6727975316265,83.8892037188822,0.826132778063759,0.871641411849606,0.401963093975328,0.99305909491797,2065.15342895848,1879.74142680158,1366.95753602285,4031.9262933472,1.28732682517787,1.14726077307183,1.00698941796875,2.48779058425269
"Kagarko",19.5169323584322,15.9187259397101,8.40215667679662,53.3040146317224,13.536615617291,13.2016544655417,7.37168651582805,21.6381850827009,0.81503225414583,0.885814512819951,0.252626920407199,0.99548265455275,767.778613628333,626.228400460665,330.533307505768,2096.9321255595,1.45743318249948,1.12890451164306,1.00453784445834,3.95840632663151
"Kajuru",41.8152632859001,29.1801773646997,15.8354532690288,145.491350454593,21.3815833389797,21.0597037277801,13.3504419478085,31.3273670067537,0.696941186336909,0.762992048973344,0.142738082933402,0.997873157037423,1017.40299965694,709.979984542571,385.290833796321,3539.93553417501,1.9868500831718,1.31062964725043,1.00213137606476,7.00583880246023
"Kaura",12.6249285842093,4.40300268593342,0.735951304129255,76.8319039176139,2.22370134802031,1.92900705498503,0.330768885377729,5.82701456223425,0.530920895643825,0.546392754959773,0.0139548027195591,0.996343166830912,166.183079955368,57.9571236795237,9.68739376239641,1011.3453194368,10.5368879184255,1.83018532181869,1.00367025467814,71.6599166728384
"Kauru",14.2697385474891,11.1475563457472,5.04969748642543,43.7429457115215,8.78908919125716,8.46133491899439,4.1248007053988,15.277383606283,0.754919805265965,0.827089644120583,0.18589601466371,0.989459596092052,165.792245236309,129.517327126143,58.6696582598516,508.225231921942,1.67993746904572,1.20905878475075,1.0106526875374,5.37935147762197
"Kubau",7.13418082124677,5.71922173912087,2.06387720132649,20.6369081669207,4.85305537187276,4.5546203119144,1.69493989010755,9.73367817698269,0.801528985684431,0.877190111215532,0.217661542863794,0.995182370551519,160.390755873354,128.579625429876,46.4001169362971,463.959266342642,1.56139997130184,1.14000373148146,1.00484095135836,4.59428885301206
"Kudan",10.778637494693,8.5652679922589,3.53396922210953,33.0809009289168,6.81454480715707,6.50182729838253,2.82911488817155,12.6030650892221,0.760174973956398,0.832295435984927,0.186919929350268,0.989056210519713,238.096697474995,189.204064330879,78.0642637974271,730.74665184265,1.64667763798384,1.20149643595977,1.01106488121105,5.34988432494834
"Lere",29.9623999770072,26.1142622198738,15.9407204191484,60.9799199807245,22.7170712171758,22.3690813731555,14.3647731633478,32.9922519918466,0.842731903516096,0.894304208901877,0.383548451994706,0.995343848964917,474.013605078425,413.134982121084,252.186685953938,964.719506102271,1.32297191606758,1.11818773751264,1.00467793219391,2.60723252937857
"Makarfi",16.5357884915617,14.2944319675231,7.36907281520365,37.8315962061268,12.2459101036274,11.906835784216,6.47335030744313,19.8740925008139,0.826412024353506,0.882594674201391,0.334136481999778,0.994783554568135,279.226418297225,241.37845267685,124.435542303338,638.831411788701,1.35999398034864,1.13302292573476,1.00524379942542,2.99278903683327
"Sabon_Gari",19.6303079913813,14.0093401931656,6.50547668959473,72.2450876888399,10.6584909974619,10.3410384959034,5.3024757808923,17.8681946039308,0.724529556481932,0.799244737586863,0.139545079121672,0.989211456194092,271.963258400959,194.088946982067,90.1285216070203,1000.90174132502,1.90079407036728,1.25118121267879,1.01090620588598,7.16614306071857
"Sanga",9.18500200806438,6.52671799430458,2.26302109974624,31.7952129388939,5.32673081171404,4.99847666680776,1.8559718963939,10.6569125860218,0.766065229632206,0.838413812858226,0.165943466764904,0.990701793443933,154.812101939396,110.00704524363,38.1429479141453,535.904482368007,1.77645978880735,1.19272844109776,1.0093854746379,6.02614866074622
"Soba",16.0309148212897,13.9597525022613,7.28211099955062,38.4643337953195,11.7940559393188,11.4700384620749,6.28171112887521,19.0916502844229,0.814244533839554,0.87853346879848,0.298096196138002,0.994997179460591,211.51754613128,184.189899752755,96.0827417805862,507.511990966084,1.38002400540656,1.13826056207928,1.00502797459417,3.35462180666435
