"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Birnin_Gwari",33.5827397040682,30.9370626398063,19.5321572116754,63.8887400729572,26.3834663626856,26.0602666650127,17.3698423239803,37.3276017686813,0.831146925213727,0.871614568097436,0.430026084840924,0.991498376353871,880.28151255749,810.932179287189,511.983151026877,1674.6720857918,1.2741937850628,1.14729610610207,1.0085745209967,2.32544032855119
"Chikun",29.2398610938116,22.9265081427283,13.0890236858296,90.1202131536843,18.6584635520106,18.3355625529383,11.2560310013043,27.9462184079798,0.777626565141229,0.84550215022154,0.202986294118086,0.987551710747271,285.517635912622,223.86981879434,127.810015485105,879.994269638554,1.58539908657283,1.18272910334247,1.01260520245981,4.92644099122545
"Giwa",47.6336829376515,44.9554043595742,30.6263441173653,81.5466596347504,38.8418047316931,38.5105648652886,27.5831856475654,52.0749994904103,0.845570424652194,0.880580133460175,0.497844340808437,0.992328187893828,1957.01244608264,1846.97635002359,1258.27214943982,3350.31469329295,1.22709631301396,1.13561499062134,1.00773112383606,2.00865997283008
"Igabi",80.4417918462347,73.7032555026918,53.2726969267777,154.960958229909,62.6925814433732,62.3388074574992,48.0800220255547,79.2627307884043,0.824940064620921,0.867647737653866,0.410006477992087,0.990590240364866,984.599655400669,902.120630387904,652.052593963008,1896.70695507845,1.28435766584889,1.15254147115569,1.00949914430104,2.43898585436312
"Ikara",61.2255622705713,56.7021259832554,39.7545836160564,110.06933061492,48.4664382119522,48.1306405253138,35.8304015084248,63.0282657585897,0.833244429683297,0.871730176624124,0.451385021097005,0.991364424032079,944.401700918884,874.627888065022,613.212765942563,1697.81475574457,1.26432016064536,1.14714395212654,1.00871079873266,2.21540359903243
"Jaba",46.785719820829,43.000071529617,28.8493893580254,90.2750510535838,36.5980019961628,36.2489457314357,25.8041161764381,49.3781805160579,0.827535296660387,0.869685101716756,0.413106715871122,0.991373124646831,1345.57721658985,1236.70036035712,829.720717803434,2596.3488942647,1.27938743926861,1.149841474835,1.00870194595632,2.42068202159087
"Jemaa",17.0862672477667,14.8178769299789,7.69479946017633,41.2506227458673,12.305442028897,11.9700188026048,6.58297344904068,19.9063105943577,0.800396378053534,0.855037542583186,0.297621205178564,0.989364400408461,391.976766408963,339.937529937575,176.526713929257,946.332249274313,1.4018215629907,1.16953928944386,1.01074993155926,3.35997564221242
"Kachia",34.9810979432077,32.2888170670253,20.5986165898915,65.9981376260116,27.5346926601879,27.1978366016736,18.3209910409961,38.6630713311912,0.830421572315109,0.870930185517599,0.433010454109562,0.990990123503088,1053.96498774353,972.847757367438,620.627194633671,1988.49465580029,1.27254010001772,1.14819765881247,1.00909179242385,2.30941306596371
"Kaduna_North",22.305299555109,18.6644243837324,10.2913108185886,59.6555861782796,15.402488772797,15.0868939866133,8.80964295659024,23.836456114298,0.793874326545186,0.852060287766854,0.257090799173006,0.988250611030985,705.194421596869,590.086132903331,325.365501694232,1886.04445710653,1.46478754071283,1.17362587408097,1.01188907837535,3.88967634511139
"Kaduna_South",84.5403089539782,77.7647968772528,56.721718061726,159.550839773895,66.4868888240653,66.1692322268416,51.3769452292674,83.4763459455562,0.83008197760043,0.871114584878062,0.422704644945397,0.992177927299357,2030.75447883685,1867.99896414251,1362.52025130257,3832.59283626939,1.27214611289322,1.14795460592611,1.00788373988728,2.36571803023883
"Kagarko",19.2180546757045,16.0658837363631,8.43887943765347,50.9090043389275,13.3166367063448,12.984349120987,7.21996300169443,21.242429350945,0.796104211051121,0.853790106677902,0.25761201632629,0.988987844616571,756.021033662646,632.017456190523,331.977947980074,2002.71456880124,1.4563797806764,1.17124805286299,1.01113477323651,3.88180650835198
"Kajuru",27.9018527916378,25.4586998657035,15.3720354766843,54.8868652928187,21.5959334551447,21.2580376858527,13.5317396948196,31.5226534241137,0.825646805450904,0.868700713592319,0.409789674766588,0.990802250830234,678.877196876832,619.433086756777,374.015461719813,1335.44684410751,1.29559160717394,1.15114444405683,1.00928313309952,2.44027622408721
"Kaura",7.52363620782504,3.56230621120546,0.793558423990086,43.5915359620591,2.61901206580411,2.3194585710784,0.505286027186304,6.42097423591242,0.687879917486211,0.803929575180537,0.0337634419086814,0.981576022498393,99.0343057499676,46.89095973681,10.4456815057271,573.799341346046,4.9070929982347,1.24389005078164,1.01876979172213,29.6178335162674
"Kauru",13.8683313784865,10.750422228572,4.88333992447993,44.6810209737885,8.73042819247392,8.40046544961568,4.05106353599,15.254254180476,0.773275121777683,0.843127693355021,0.185904613076054,0.98742752888139,161.128516073968,124.90324420323,56.736841227837,519.124212545469,1.63468386574769,1.1860599620693,1.01273255074523,5.37910266743225
"Kubau",7.63538712150106,5.97533568174486,2.12167022922576,24.3975903772784,4.88579485982297,4.57806145414613,1.69426587076887,9.78262354035411,0.770838729668368,0.84096275538124,0.181167506074542,0.987542654646971,171.658883127272,134.337582773041,47.6994206210827,548.506977906439,1.65097087216987,1.189113303296,1.01261448839508,5.51975363551516
"Kudan",10.5626605660804,8.47280188834308,3.50761624234202,31.6127033459848,6.87355890636222,6.55893892113063,2.86339400598449,12.7046252126722,0.774091075561799,0.841617324586857,0.202268637961421,0.986905111992319,233.325835345271,187.161517303801,77.4821347988075,698.314631013582,1.59380075428065,1.18818846855001,1.01326863935404,4.94392017506623
"Lere",29.7217953929001,27.0194351734768,16.5390744408242,60.0080958470263,22.8555598948037,22.5197845020783,14.5620619026799,33.0946358536234,0.822299408586669,0.866466271827993,0.39462098301251,0.991261759859247,470.207172803355,427.455073144704,261.652815073947,949.344974640504,1.30322968169256,1.15411301341285,1.00881527008783,2.53407711171589
"Makarfi",17.4804057203434,14.9636477352038,7.77611735026214,41.2692659988212,12.4256114163616,12.0945861186583,6.61467409008451,20.0677439374493,0.801119682670661,0.855232766775442,0.305292109714983,0.98932718884003,295.177401559328,252.678955339476,131.308972479942,696.880547092557,1.42254782822587,1.16927231842907,1.01078794890143,3.27555141755619
"Sabon_Gari",18.107874956274,13.5626745002213,6.58801683531552,63.5638735896146,10.9010274866832,10.5764443935043,5.50991893098105,18.126019461897,0.765359600159772,0.839619806206387,0.161969771379042,0.987612248198417,250.871085567664,187.900727351361,91.2720536896026,880.630002626969,1.70256221048906,1.1910152578681,1.01254313302026,6.17399155097658
"Sanga",9.41148526455215,7.00575530073406,2.61194095669659,32.0139705887566,5.74910983476786,5.42925360113299,2.12930047333532,11.1796590406303,0.773952232564198,0.844858753567425,0.167637723855451,0.987525383434698,158.629449933459,118.081161313569,44.0239500538782,539.591616193438,1.69719191412068,1.18362980294437,1.01263219839838,5.96524445011771
"Soba",17.157108623043,14.3392067704644,7.24309123253486,46.7237335175024,11.6936197025409,11.3637818520013,6.13085353068848,19.1067249094224,0.78377755821765,0.845983412337798,0.242002921780126,0.987556939916796,226.376944491925,189.196553245341,95.5679012077432,616.48942495715,1.49233056099557,1.18205627370096,1.01259984065763,4.13218152647871
"Zangon_Kataf",199.754313157814,189.838485056075,152.397549886457,309.580293899699,166.32373574261,165.978266140884,141.623442910177,192.99677348936,0.854896641798805,0.885695467851241,0.543240386096752,0.993394258004375,4097.52437246797,3894.12277038103,3126.1035874145,6350.36500307074,1.20103777707446,1.12905624596738,1.00664966798672,1.840805701479
"Zaria",25.1273365368302,22.0186510646514,12.747972719679,59.273317369121,18.3227732468369,17.9862153819469,11.039726938498,27.5149357207402,0.804339257030641,0.856770387791996,0.312611292626613,0.989278558500855,425.742740373266,373.071010922592,215.994115887479,1004.29205979534,1.37947433542997,1.16717385923896,1.01083763658582,3.19886077105166
